potential,current
 6.330E-0001,-1.34279E-0005
 6.340E-0001,-1.34157E-0005
 6.350E-0001,-1.33791E-0005
 6.360E-0001,-1.33730E-0005
 6.370E-0001,-1.33546E-0005
 6.380E-0001,-1.33424E-0005
 6.390E-0001,-1.33150E-0005
 6.400E-0001,-1.33089E-0005
 6.410E-0001,-1.32722E-0005
 6.420E-0001,-1.32845E-0005
 6.430E-0001,-1.32631E-0005
 6.440E-0001,-1.32661E-0005
 6.450E-0001,-1.32387E-0005
 6.460E-0001,-1.32204E-0005
 6.470E-0001,-1.31685E-0005
 6.480E-0001,-1.31563E-0005
 6.490E-0001,-1.31654E-0005
 6.500E-0001,-1.31044E-0005
 6.510E-0001,-1.31197E-0005
 6.520E-0001,-1.31136E-0005
 6.530E-0001,-1.31044E-0005
 6.540E-0001,-1.30983E-0005
 6.550E-0001,-1.30647E-0005
 6.560E-0001,-1.30617E-0005
 6.570E-0001,-1.30495E-0005
 6.580E-0001,-1.30312E-0005
 6.590E-0001,-1.30464E-0005
 6.600E-0001,-1.30312E-0005
 6.610E-0001,-1.30281E-0005
 6.620E-0001,-1.30128E-0005
 6.630E-0001,-1.29945E-0005
 6.640E-0001,-1.30006E-0005
 6.650E-0001,-1.29579E-0005
 6.660E-0001,-1.29457E-0005
 6.670E-0001,-1.29396E-0005
 6.680E-0001,-1.29274E-0005
 6.690E-0001,-1.29030E-0005
 6.700E-0001,-1.28999E-0005
 6.710E-0001,-1.28908E-0005
 6.720E-0001,-1.28847E-0005
 6.730E-0001,-1.28664E-0005
 6.740E-0001,-1.28603E-0005
 6.750E-0001,-1.28480E-0005
 6.760E-0001,-1.28419E-0005
 6.770E-0001,-1.28297E-0005
 6.780E-0001,-1.28114E-0005
 6.790E-0001,-1.28023E-0005
 6.800E-0001,-1.27931E-0005
 6.810E-0001,-1.27962E-0005
 6.820E-0001,-1.27809E-0005
 6.830E-0001,-1.27656E-0005
 6.840E-0001,-1.27565E-0005
 6.850E-0001,-1.27382E-0005
 6.860E-0001,-1.27443E-0005
 6.870E-0001,-1.27260E-0005
 6.880E-0001,-1.27168E-0005
 6.890E-0001,-1.27199E-0005
 6.900E-0001,-1.27016E-0005
 6.910E-0001,-1.27077E-0005
 6.920E-0001,-1.26924E-0005
 6.930E-0001,-1.26832E-0005
 6.940E-0001,-1.26649E-0005
 6.950E-0001,-1.26649E-0005
 6.960E-0001,-1.26405E-0005
 6.970E-0001,-1.26619E-0005
 6.980E-0001,-1.26466E-0005
 6.990E-0001,-1.26466E-0005
 7.000E-0001,-1.26283E-0005
 7.010E-0001,-1.26375E-0005
 7.020E-0001,-1.26039E-0005
 7.030E-0001,-1.25734E-0005
 7.040E-0001,-1.25856E-0005
 7.050E-0001,-1.25551E-0005
 7.060E-0001,-1.25703E-0005
 7.070E-0001,-1.25825E-0005
 7.080E-0001,-1.25673E-0005
 7.090E-0001,-1.25612E-0005
 7.100E-0001,-1.25612E-0005
 7.110E-0001,-1.25551E-0005
 7.120E-0001,-1.25490E-0005
 7.130E-0001,-1.25368E-0005
 7.140E-0001,-1.25368E-0005
